text,status,naer_general_rank,written_per_million,spoken_per_million,provenance_ids
大學,provisional,245,330.0915899255428,228.5907499882843,naer:coct-general-frequency
研究,provisional,246,712.8171209341417,315.8427087361212,naer:coct-general-frequency
以及,provisional,247,612.2973299986329,268.2763183219778,naer:coct-general-frequency
目前,provisional,248,181.9400275980817,294.3580866358473,naer:coct-general-frequency
部分,provisional,249,325.5261175884246,558.5063552966371,naer:coct-general-frequency
外,provisional,250,430.9210389847866,152.5971084982329,naer:coct-general-frequency
無法,provisional,251,595.1629138186307,141.4795202061698,naer:coct-general-frequency
點,provisional,252,469.0605978914783,302.0981797505748,naer:coct-general-frequency
快,provisional,253,455.5745896052254,510.3301393643638,naer:coct-general-frequency
話,provisional,254,580.2993238793517,568.1697442762363,naer:coct-general-frequency
四,provisional,255,540.671023993165,344.3637791225108,naer:coct-general-frequency
手,provisional,256,576.7184055766727,402.5317516210687,naer:coct-general-frequency
使用,provisional,257,390.3796446311762,356.888657071797,naer:coct-general-frequency
日本,provisional,258,405.9141605052144,229.2943948168959,naer:coct-general-frequency
所有,provisional,259,567.3492623457172,407.4572654213498,naer:coct-general-frequency
以後,provisional,260,281.6340635369639,888.9848764678792,naer:coct-general-frequency
透過,provisional,261,240.9894498087752,362.1894481140043,naer:coct-general-frequency
未來,provisional,262,212.3857731227428,249.0902693285019,naer:coct-general-frequency
見,provisional,263,704.4563515932973,163.714696790296,naer:coct-general-frequency
昨天,provisional,264,47.36578300361592,68.11281940960164,naer:coct-general-frequency
只要,provisional,265,371.8517668943666,480.1203213893064,naer:coct-general-frequency
台,provisional,266,113.6723212423547,117.6494153438574,naer:coct-general-frequency
正,provisional,267,687.0162472655054,152.9723857401591,naer:coct-general-frequency
進行,provisional,268,396.6085368893837,231.8744258551384,naer:coct-general-frequency
學校,provisional,269,292.420488180399,422.9843613060455,naer:coct-general-frequency
除了,provisional,270,276.5048546156102,475.7577234519146,naer:coct-general-frequency
找,provisional,271,426.1927976339102,485.7025703629583,naer:coct-general-frequency
叫,provisional,272,441.127847140205,653.3576781934793,naer:coct-general-frequency
如何,provisional,273,579.2631601576231,291.2151397347156,naer:coct-general-frequency
包括,provisional,274,292.6864765687355,280.8950155817456,naer:coct-general-frequency
經濟,provisional,275,326.9672188565759,231.9682451656199,naer:coct-general-frequency
分,provisional,276,241.7834449978392,298.5330459522761,naer:coct-general-frequency
另,provisional,277,525.2159076380333,92.74038841100719,naer:coct-general-frequency
當時,provisional,278,458.7982100728255,355.1529998278885,naer:coct-general-frequency
長,provisional,279,419.0468409323337,446.0639116845056,naer:coct-general-frequency
好像,provisional,280,263.0625160647558,853.9902736582629,naer:coct-general-frequency
出現,provisional,281,493.1782017592988,267.619583148607,naer:coct-general-frequency
造成,provisional,282,248.9095518196891,466.5634310247231,naer:coct-general-frequency
過程,provisional,283,346.6463896175284,529.1409111159136,naer:coct-general-frequency
感覺,provisional,284,359.5567513917098,645.8990430101964,naer:coct-general-frequency
些,provisional,285,633.2667429418145,307.211332171819,naer:coct-general-frequency
受,provisional,286,431.7547339333039,153.2069340163629,naer:coct-general-frequency
結果,provisional,287,427.5108296477566,394.4632909196558,naer:coct-general-frequency
指出,provisional,288,152.0143489222577,20.82788692690298,naer:coct-general-frequency
若,provisional,289,344.7050713802668,59.6690814662626,naer:coct-general-frequency
便,provisional,290,871.7551079050378,58.07415318807634,naer:coct-general-frequency
後來,provisional,291,335.5701567300849,587.4965222354347,naer:coct-general-frequency
機會,provisional,292,321.1035643853378,342.8157604995653,naer:coct-general-frequency
朋友,provisional,293,397.2238831609084,487.4382276068669,naer:coct-general-frequency
過去,provisional,294,340.0879893558593,325.5999170262018,naer:coct-general-frequency
寫,provisional,295,448.7700508349465,477.91556759299,naer:coct-general-frequency
對於,provisional,296,369.1918830110021,420.5450592335253,naer:coct-general-frequency
牠,provisional,297,271.3041861272407,787.61311149257,naer:coct-general-frequency
學習,provisional,298,411.5634362754051,391.554892294728,naer:coct-general-frequency
聽,provisional,299,538.8091052748098,395.5422129901937,naer:coct-general-frequency
或者,provisional,300,242.8990082384742,816.5094591208858,naer:coct-general-frequency
條,provisional,301,455.6619290760223,349.9460280961627,naer:coct-general-frequency
大概,provisional,302,145.6345975781281,921.0241709973268,naer:coct-general-frequency
場,provisional,303,271.804403096351,150.5330836676389,naer:coct-general-frequency
國,provisional,304,286.2352656575902,142.6991712424299,naer:coct-general-frequency
幫,provisional,305,230.1395055502149,653.4045878487199,naer:coct-general-frequency
間,provisional,306,457.3134390692757,197.8180161503376,naer:coct-general-frequency
放,provisional,307,329.5159434134715,567.6537380685877,naer:coct-general-frequency
約,provisional,308,186.8032481310991,73.17906217560505,naer:coct-general-frequency
邊,provisional,309,486.9096097416381,298.6737749179984,naer:coct-general-frequency
提供,provisional,310,287.1443901490684,165.4034443789638,naer:coct-general-frequency
故事,provisional,311,395.4215140817329,399.998630238067,naer:coct-general-frequency
應,provisional,312,322.9376932720758,20.78097727166221,naer:coct-general-frequency
變成,provisional,313,289.1293781217286,598.4264719065346,naer:coct-general-frequency
連,provisional,314,354.7729303775989,246.6978769112225,naer:coct-general-frequency
張,provisional,315,389.5380097307684,279.8160935112078,naer:coct-general-frequency
買,provisional,316,235.0463958186308,457.3691385975317,naer:coct-general-frequency
一般,provisional,317,309.0110176558924,510.2832297091231,naer:coct-general-frequency
五,provisional,318,431.8103135965384,281.7393893760795,naer:coct-general-frequency
其中,provisional,319,359.4813218487488,172.9089892174874,naer:coct-general-frequency
先生,provisional,320,630.5195195876529,280.3790093740971,naer:coct-general-frequency
或是,provisional,321,296.3190045587035,587.7310705116384,naer:coct-general-frequency
同時,provisional,322,439.2024088067247,213.0636541035886,naer:coct-general-frequency
使,provisional,323,776.1461772138904,69.75465734302868,naer:coct-general-frequency
去年,provisional,324,34.16164300948076,91.56764702998787,naer:coct-general-frequency
決定,provisional,325,402.0196141028552,202.3682527086925,naer:coct-general-frequency
教育,provisional,326,279.9706436158747,302.3796376820194,naer:coct-general-frequency
市場,provisional,327,255.0312547273729,107.1885622251651,naer:coct-general-frequency
中心,provisional,328,181.5271500997685,157.3349836775509,naer:coct-general-frequency
告訴,provisional,329,483.9360977585933,395.2607550587489,naer:coct-general-frequency
國際,provisional,330,160.3393884795943,155.0833202259938,naer:coct-general-frequency
完全,provisional,331,456.598843399118,321.23731908881,naer:coct-general-frequency
主要,provisional,332,308.1217430441406,395.6360323006752,naer:coct-general-frequency
身,provisional,333,481.7684908924484,262.0842438301959,naer:coct-general-frequency
狀況,provisional,334,174.7464311851615,566.9500932399762,naer:coct-general-frequency
半,provisional,335,312.4212269929225,224.7441582585409,naer:coct-general-frequency
